No,Outlier wavelengths
11,"{'1510', '1865.3', '1000.7', '1434', '2113.1', '1970.2', '1396.9', '1517.1', '1844', '1400.7', '1446', '2075.8', '2214.1', '2319.1', '1551.6', '2427.7', '1895.3', '2327.4', '2149.9', '1003.4', '1853.3', '1547', '1948', '2030.3', '1022.4', '1863.9', '1974.7', '1046.7', '1400', '1524.2', '2102.8', '2235.1', '2387.4', '1884.3', '2186.1', '2266.4', '1010.4', '2022.4', '1494.4', '1033', '2485.8', '1042.9', '2169.7', '1397.7', '1425.4', '1885.6', '1498.7', '1552.5', '1415.2', '1468.1', '1442.8', '1876.1', '2049.6', '2158.8', '2057.7', '2423.1', '1880.2', '1946.5', '2123.5', '2262.4', '2125.2', '1439.6', '2298.5', '1041.7', '1032.1', '2114.8', '1912', '2031.9', '2443.7', '1019.6', '1962.7', '1466.5', '2039.9', '1522.5', '1045.9', '2402.9', '1040.4', '2024', '1038.3', '1530.5', '1460.7', '2258.5', '1521.6', '2488.2', '2407.4', '1001.1', '2130.4', '1988.3', '2439.1', '2146.3', '2210.3', '1016.8', '1441.2', '2302.6', '1467.3', '2188', '1480.7', '2111.3', '1909.2', '1536', '2237', '2274.3', '2061', '1030.5', '1982.2', '1409.1', '1044.6', '2028.7', '1986.8', '1881.5', '2092.6', '2462.2', '1469.8', '1539.6', '1006.5', '1398.5', '1411.4', '1449.3', '2189.8', '2025.6', '1858.6', '1510.9', '1007.3', '1048', '1474.8', '1848', '2414.1', '1939.2', '2333.7', '2455.2', '1527.8', '1034.6', '2166', '1878.8', '2280.3', '1512.7', '2314.9', '1977.7', '1481.6', '1428.5', '1020.8', '1980.7', '1014', '1453.3', '1463.2', '2331.6', '2268.4', '1043.4', '2074.2', '1479.9', '1505.7', '1045.5', '2013', '2016.1', '2394', '1882.9', '2344.2', '1500.4', '1491.8', '1838.8', '1017.2', '2144.5', '1992.9', '2027.2', '2153.4', '2167.8', '1462.3', '1019.2', '1516.2', '1940.7', '1833.6', '2162.4', '1009.2', '1007.7', '2365.6', '1042.1', '2300.6', '1535.1', '1024', '2434.5', '2481.1', '1547.9', '1945', '1854.6', '2204.7', '1035.4', '1030.1', '1495.2', '1016', '1455', '1502.2', '1533.3', '2197.2', '2056.1', '1476.5', '1024.4', '1014.8', '2352.8', '1916.3', '1503.9', '1483.3', '1020', '2239', '1997.5', '1544.2', '1967.2', '1971.7', '2242.8', '2429.9', '1028.9', '1452.5', '1872', '2348.5', '1420.7', '1504.8', '2441.4', '2077.5', '1032.6', '2495.4', '2033.5', '1553.5', '2223.6', '1870.7', '1444.4', '1018.8', '1479', '1465.6', '2367.8', '2148.1', '1490.9', '2006.8', '1419.9', '1920.5', '2043.1', '2206.6', '2216', '2231.3', '2254.6', '1542.4', '1005.3', '1003', '2457.6', '2380.8', '2036.7', '2374.3', '2416.3', '2308.8', '2064.3', '1458.2', '1509.2', '1846.7', '1011.2', '2003.7', '2292.4', '1406.8', '2483.5', '2464.6', '1999', '1017.6', '1025.6', '1485.8', '1024.8', '2139.2', '1037.9', '2195.4', '1455.8', '1896.7', '1459.9', '2157', '2221.7', '1442', '2256.5', '2420.9', '1874.7', '2294.5', '2062.6', '1015.2', '1022', '1469', '1531.4', '2370', '1008.8', '2109.6', '1026.4', '1983.7', '2065.9', '1416', '2260.4', '1438', '2087.5', '1917.7', '1852', '1550.7', '2084.2', '1487.5', '1950.9', '1405.3', '1009.6', '1430.1', '1001.4', '1554.4', '1004.2', '1048.4', '2176.9', '1432.4', '2372.1', '1036.3', '2493', '1012.8', '1464.8', '2396.2', '1497', '1477.3', '2432.2', '1930.6', '1030.9', '1995.9', '1006.9', '2052.8', '1445.2', '1488.4', '999.9', '2079.2', '1039.2', '1423', '2041.5', '1952.4', '1028', '1903.6', '1548.8', '1018', '2035.1', '2141', '1418.3', '2090.9', '2184.3', '2038.3', '1490.1', '2072.5', '1419.1', '1913.5', '2132.2', '2151.6', '2014.6', '1855.9', '1910.6', '1010.8', '1475.7', '1523.3', '1025.2', '1459.1', '2272.3', '2002.1', '1518.9', '1968.7', '1008.5', '2217.9', '2101.1', '1859.9', '1887', '2051.2', '1034.2', '2225.5', '1423.8', '2233.2', '1943.6', '2164.2', '2005.2', '1989.8', '1443.6', '2411.8', '1045', '2107.9', '1027.2', '1457.4', '1507.4', '1526.9', '2459.9', '1496.1', '2118.2', '1906.4', '2128.7', '1979.2', '1893.9', '1041.3', '2306.7', '2008.3', '2201', '1486.7', '1002.6', '1877.4', '1043.8', '1889.7', '1000.3', '1427.7', '1047.6', '2250.6', '2383', '1933.4', '2126.9', '2155.2', '2096', '2466.9', '1409.9', '1850.6', '2252.6', '1422.2', '1033.8', '2471.6', '2094.3', '1399.2', '1926.3', '1417.6', '1010', '2135.7', '1497.8', '1994.4', '2312.9', '2246.7', '1837.5', '2337.9', '2067.6', '1412.9', '1401.5', '1470.6', '1905', '2284.3', '2137.5', '1464', '1519.8', '2009.9', '2476.3', '1513.6', '1543.3', '2282.3', '1408.3', '2321.2', '1456.6', '2191.7', '1515.3', '1008.1', '2054.5', '2175.1', '2288.4', '2089.2', '1973.2', '2171.5', '1528.7', '1862.6', '1438.8', '1012', '2182.4', '2340', '1001.8', '1898', '1003.8', '2099.4', '2357', '1961.2', '1534.2', '2359.2', '1430.9', '1037.5', '2350.6', '1023.6', '1942.1', '1907.8', '1026.8', '1929.1', '2020.8', '2219.8', '1403', '2248.7', '1021.6', '1866.6', '2354.9', '2046.4', '2085.9', '2202.8', '2160.6', '1927.7', '1005.7', '2500.2', '1434.8', '2044.7', '1013.6', '2346.4', '2497.8', '1836.2', '1503', '1857.3', '1040', '1421.5', '2278.3', '1451.7', '1919.1', '1902.2', '2264.4', '1482.4', '1959.7', '1489.2', '1037.1', '2490.6', '2229.3', '1023.2', '2317', '1431.7', '1012.4', '1473.1', '2059.4', '2227.4', '1448.5', '1849.3', '1040.8', '2478.7', '2389.6', '1407.6', '1899.4', '2323.2', '2398.5', '1537.8', '2310.8', '1036.7', '1892.5', '2070.9', '1493.5', '2173.3', '1869.3', '2474', '1402.2', '2116.5', '1035.9', '1035', '2270.3', '2436.8', '2448.3', '2342.1', '1031.3', '2212.2', '1450.1', '2290.4', '1414.5', '1038.8', '1541.5', '1471.5', '1499.6', '2104.5', '1556.3', '1518', '1868', '1403.8', '1015.6', '1485', '1953.8', '1514.4', '1955.3', '1450.9', '1028.5', '1478.2', '2000.6', '2276.3', '2335.8', '1454.1', '1042.5', '1949.4', '1020.4', '1018.4', '1520.7', '1545.1', '2296.5', '1985.2', '1900.8', '1461.5', '1511.8', '1932', '1506.5', '1546.1', '2097.7', '2286.4', '1536.9', '2244.8', '1923.4', '1446.8', '2017.7', '2325.3', '1426.1', '2329.5', '2425.4', '2450.6', '1540.5', '1492.7', '2391.8', '1557.2', '1404.5', '1472.3', '1922', '1416.8', '2133.9', '1845.4', '1426.9', '1016.4', '1413.7', '2385.2', '1021.2', '1436.4', '1429.3', '1873.4', '1022.8', '1410.6', '1440.4', '2452.9', '2409.6', '1532.3', '2011.4', '2240.9', '2304.7', '1861.3', '2378.7', '1934.9', '1004.9', '2446', '1029.7', '1936.3', '2405.1', '2469.3', '1834.9', '1958.3', '1964.2', '1555.3', '1044.2', '1437.2', '2080.8', '2082.5', '1006.1', '1002.2', '1039.6', '2106.2', '2193.5', '1529.6', '2142.8', '2048', '2019.3', '1013.2', '1501.3', '1924.8', '2069.2', '1526', '1914.9', '2418.6', '1433.2', '1014.4', '1047.1', '1447.6', '1842.7', '1026', '1891.1', '1976.2', '1508.3', '1538.7', '1484.1', '1549.8', '1031.7', '1033.4', '2120', '2180.6', '1965.7', '1029.3', '1004.5', '1832.3', '1435.6', '1888.4', '1412.2', '1956.8', '2361.3', '1937.8', '1027.6', '2178.8', '2208.5', '1406', '2199.1', '2363.5', '1991.3', '1046.3', '2376.5', '2400.7', '1840.1', '1525.1', '1841.4', '1424.6', '1474', '1011.6', '2121.7'}"
12,"{'1510', '1865.3', '1000.7', '1434', '2113.1', '1970.2', '1396.9', '1517.1', '1844', '1400.7', '1446', '2075.8', '2214.1', '2319.1', '1551.6', '2427.7', '1895.3', '2327.4', '2149.9', '1003.4', '1853.3', '1547', '1948', '2030.3', '1022.4', '1863.9', '1974.7', '1046.7', '1400', '1524.2', '2102.8', '2235.1', '2387.4', '1884.3', '2186.1', '2266.4', '1010.4', '2022.4', '1494.4', '1033', '2485.8', '1042.9', '2169.7', '1397.7', '1425.4', '1885.6', '1498.7', '1552.5', '1415.2', '1468.1', '1442.8', '1876.1', '2049.6', '2158.8', '2057.7', '2423.1', '1880.2', '1946.5', '2123.5', '2262.4', '2125.2', '1439.6', '2298.5', '1041.7', '1032.1', '2114.8', '1912', '2031.9', '2443.7', '1019.6', '1962.7', '1466.5', '2039.9', '1522.5', '1045.9', '2402.9', '1040.4', '2024', '1038.3', '1530.5', '1460.7', '2258.5', '1521.6', '2488.2', '2407.4', '1001.1', '2130.4', '1988.3', '2439.1', '2146.3', '2210.3', '1016.8', '1441.2', '2302.6', '1467.3', '2188', '1480.7', '2111.3', '1909.2', '1536', '2237', '2274.3', '2061', '1030.5', '1982.2', '1409.1', '1044.6', '2028.7', '1986.8', '1881.5', '2092.6', '2462.2', '1469.8', '1539.6', '1006.5', '1398.5', '1411.4', '1449.3', '2189.8', '2025.6', '1858.6', '1510.9', '1007.3', '1048', '1474.8', '1848', '2414.1', '1939.2', '2333.7', '2455.2', '1527.8', '1034.6', '2166', '1878.8', '2280.3', '1512.7', '2314.9', '1977.7', '1481.6', '1428.5', '1020.8', '1980.7', '1014', '1453.3', '1463.2', '2331.6', '2268.4', '1043.4', '2074.2', '1479.9', '1505.7', '1045.5', '2013', '2016.1', '2394', '1882.9', '2344.2', '1500.4', '1491.8', '1838.8', '1017.2', '2144.5', '1992.9', '2027.2', '2153.4', '2167.8', '1462.3', '1019.2', '1516.2', '1940.7', '1833.6', '2162.4', '1009.2', '1007.7', '2365.6', '1042.1', '2300.6', '1535.1', '1024', '2434.5', '2481.1', '1547.9', '1945', '1854.6', '2204.7', '1035.4', '1030.1', '1495.2', '1016', '1455', '1502.2', '1533.3', '2197.2', '2056.1', '1476.5', '1024.4', '1014.8', '2352.8', '1916.3', '1503.9', '1483.3', '1020', '2239', '1997.5', '1544.2', '1967.2', '1971.7', '2242.8', '2429.9', '1028.9', '1452.5', '1872', '2348.5', '1420.7', '1504.8', '2441.4', '2077.5', '1032.6', '2495.4', '2033.5', '1553.5', '2223.6', '1870.7', '1444.4', '1018.8', '1479', '1465.6', '2367.8', '2148.1', '1490.9', '2006.8', '1419.9', '1920.5', '2043.1', '2206.6', '2216', '2231.3', '2254.6', '1542.4', '1005.3', '1003', '2457.6', '2380.8', '2036.7', '2374.3', '2416.3', '2308.8', '2064.3', '1458.2', '1509.2', '1846.7', '1011.2', '2003.7', '2292.4', '1406.8', '2483.5', '2464.6', '1999', '1017.6', '1025.6', '1485.8', '1024.8', '2139.2', '1037.9', '2195.4', '1455.8', '1896.7', '1459.9', '2157', '2221.7', '1442', '2256.5', '2420.9', '1874.7', '2294.5', '2062.6', '1015.2', '1022', '1469', '1531.4', '2370', '1008.8', '2109.6', '1026.4', '1983.7', '2065.9', '1416', '2260.4', '1438', '2087.5', '1917.7', '1852', '1550.7', '2084.2', '1487.5', '1950.9', '1405.3', '1009.6', '1430.1', '1001.4', '1554.4', '1004.2', '1048.4', '2176.9', '1432.4', '2372.1', '1036.3', '2493', '1012.8', '1464.8', '2396.2', '1497', '1477.3', '2432.2', '1930.6', '1030.9', '1995.9', '1006.9', '2052.8', '1445.2', '1488.4', '999.9', '2079.2', '1039.2', '1423', '2041.5', '1952.4', '1028', '1903.6', '1548.8', '1018', '2035.1', '2141', '1418.3', '2090.9', '2184.3', '2038.3', '1490.1', '2072.5', '1419.1', '1913.5', '2132.2', '2151.6', '2014.6', '1855.9', '1910.6', '1010.8', '1475.7', '1523.3', '1025.2', '1459.1', '2272.3', '2002.1', '1518.9', '1968.7', '1008.5', '2217.9', '2101.1', '1859.9', '1887', '2051.2', '1034.2', '2225.5', '1423.8', '2233.2', '1943.6', '2164.2', '2005.2', '1989.8', '1443.6', '2411.8', '1045', '2107.9', '1027.2', '1457.4', '1507.4', '1526.9', '2459.9', '1496.1', '2118.2', '1906.4', '2128.7', '1979.2', '1893.9', '1041.3', '2306.7', '2008.3', '2201', '1486.7', '1002.6', '1877.4', '1043.8', '1889.7', '1000.3', '1427.7', '1047.6', '2250.6', '2383', '1933.4', '2126.9', '2155.2', '2096', '2466.9', '1409.9', '1850.6', '2252.6', '1422.2', '1033.8', '2471.6', '2094.3', '1399.2', '1926.3', '1417.6', '1010', '2135.7', '1497.8', '1994.4', '2312.9', '2246.7', '1837.5', '2337.9', '2067.6', '1412.9', '1401.5', '1470.6', '1905', '2284.3', '2137.5', '1464', '1519.8', '2009.9', '2476.3', '1513.6', '1543.3', '2282.3', '1408.3', '2321.2', '1456.6', '2191.7', '1515.3', '1008.1', '2054.5', '2175.1', '2288.4', '2089.2', '1973.2', '2171.5', '1528.7', '1862.6', '1438.8', '1012', '2182.4', '2340', '1001.8', '1898', '1003.8', '2099.4', '2357', '1961.2', '1534.2', '2359.2', '1430.9', '1037.5', '2350.6', '1023.6', '1942.1', '1907.8', '1026.8', '1929.1', '2020.8', '2219.8', '1403', '2248.7', '1021.6', '1866.6', '2354.9', '2046.4', '2085.9', '2202.8', '2160.6', '1927.7', '1005.7', '2500.2', '1434.8', '2044.7', '1013.6', '2346.4', '2497.8', '1836.2', '1503', '1857.3', '1040', '1421.5', '2278.3', '1451.7', '1919.1', '1902.2', '2264.4', '1482.4', '1959.7', '1489.2', '1037.1', '2490.6', '2229.3', '1023.2', '2317', '1431.7', '1012.4', '1473.1', '2059.4', '2227.4', '1448.5', '1849.3', '1040.8', '2478.7', '2389.6', '1407.6', '1899.4', '2323.2', '2398.5', '1537.8', '2310.8', '1036.7', '1892.5', '2070.9', '1493.5', '2173.3', '1869.3', '2474', '1402.2', '2116.5', '1035.9', '1035', '2270.3', '2436.8', '2448.3', '2342.1', '1031.3', '2212.2', '1450.1', '2290.4', '1414.5', '1038.8', '1541.5', '1471.5', '1499.6', '2104.5', '1556.3', '1518', '1868', '1403.8', '1015.6', '1485', '1953.8', '1514.4', '1955.3', '1450.9', '1028.5', '1478.2', '2000.6', '2276.3', '2335.8', '1454.1', '1042.5', '1949.4', '1020.4', '1018.4', '1520.7', '1545.1', '2296.5', '1985.2', '1900.8', '1461.5', '1511.8', '1932', '1506.5', '1546.1', '2097.7', '2286.4', '1536.9', '2244.8', '1923.4', '1446.8', '2017.7', '2325.3', '1426.1', '2329.5', '2425.4', '2450.6', '1540.5', '1492.7', '2391.8', '1557.2', '1404.5', '1472.3', '1922', '1416.8', '2133.9', '1845.4', '1426.9', '1016.4', '1413.7', '2385.2', '1021.2', '1436.4', '1429.3', '1873.4', '1022.8', '1410.6', '1440.4', '2452.9', '2409.6', '1532.3', '2011.4', '2240.9', '2304.7', '1861.3', '2378.7', '1934.9', '1004.9', '2446', '1029.7', '1936.3', '2405.1', '2469.3', '1834.9', '1958.3', '1964.2', '1555.3', '1044.2', '1437.2', '2080.8', '2082.5', '1006.1', '1002.2', '1039.6', '2106.2', '2193.5', '1529.6', '2142.8', '2048', '2019.3', '1013.2', '1501.3', '1924.8', '2069.2', '1526', '1914.9', '2418.6', '1433.2', '1014.4', '1047.1', '1447.6', '1842.7', '1026', '1891.1', '1976.2', '1508.3', '1538.7', '1484.1', '1549.8', '1031.7', '1033.4', '2120', '2180.6', '1965.7', '1029.3', '1004.5', '1832.3', '1435.6', '1888.4', '1412.2', '1956.8', '2361.3', '1937.8', '1027.6', '2178.8', '2208.5', '1406', '2199.1', '2363.5', '1991.3', '1046.3', '2376.5', '2400.7', '1840.1', '1525.1', '1841.4', '1424.6', '1474', '1011.6', '2121.7'}"
